"id","producto","precio","hora_consulta","farmacia_corto","busqueda","farmacia","pais","product_name","quantity","unit","presentacion","num_prod"
1,nexium mups 40mg 14 tabs,815.00,"00:44:06 04/07/2023",farmacon,NEXIUM,farmacon,Mexico,nexium mups ,40.0,mg,tableta,14
2,levitra 20mg 1 tab,335.00,"00:54:29 04/07/2023",farmacon,LEVITRA,farmacon,Mexico,levitra ,20.0,mg,tableta,1
3,jardianz duo 12.5mg1000mg 30 tabs,939.00,"01:01:20 04/07/2023",farmacon,JARDIANZ,farmacon,Mexico,jardianz duo ,1000.0,mg,tableta,30
4,myrbetric 50 mg caja con 30 tabletas,2173.00,"00:25:20 04/07/2023",farmalisto_mx,MYRBETRIC,farmalisto méxico,Mexico,myrbetric ,50.0,mg,tableta,30
41,nexium mups 7 tabletas caja esomeprazol magnesico trihidra 40 mg,589.00,"00:43:37 04/07/2023",fsanpablo,NEXIUM,farmacias san pablo,Mexico,nexium mups ,40.0,mg,tableta,7
42,jardianz duo 5850mg tab caja con 30,939.05,"01:02:41 04/07/2023",fespecializadas,JARDIANZ DUO,farmacias especializadas,Mexico,jardianz duo ,5850.0,mg,tableta,30
43,jardianz  jardianz duo 5mg850mg 60 tabletas.,1612.71,"01:03:38 04/07/2023",fguadalajara,JARDIANZ DUO,farmacias guadalajara,Mexico,jardianz  jardianz duo ,850.0,mg,tableta,60
44,rasilles hct 300  12.5 mg caja con 28 comprimidos,824.00,"03:09:10 04/07/2023",farmalisto_mx,RASILLES,farmalisto méxico,Mexico,rasilles hct ,12.5,mg,tableta,300
45,jardianz  jardianz duo 12.5mg850mg 30 tabletas.,870.86,"01:03:38 04/07/2023",fguadalajara,JARDIANZ DUO,farmacias guadalajara,Mexico,jardianz  jardianz duo ,850.0,mg,tableta,30
46,jardianz 30 tableta caja empagliflozina 25 mg,1670.00,"01:04:15 04/07/2023",fsanpablo,JARDIANZ DPP,farmacias san pablo,Mexico,jardianz ,25.0,mg,tableta,30
47,jardianz 30 tableta caja empagliflozina 10 mg,1578.00,"01:04:15 04/07/2023",fsanpablo,JARDIANZ DPP,farmacias san pablo,Mexico,jardianz ,10.0,mg,tableta,30
48,jardianz 10 tabletas caja empagliflozina 25 mg,676.00,"01:04:15 04/07/2023",fsanpablo,JARDIANZ DPP,farmacias san pablo,Mexico,jardianz ,25.0,mg,tableta,10
50,arcoxia 120mg 7 comp,930.00,"02:46:28 04/07/2023",farmacon,ARCOXIA,farmacon,Mexico,arcoxia ,120.0,mg,tableta,7
51,jardianz 10 tabletas caja empagliflozina 10 mg,732.00,"01:04:15 04/07/2023",fsanpablo,JARDIANZ DPP,farmacias san pablo,Mexico,jardianz ,10.0,mg,tableta,10
52,trayenta duo 2.5500mg tab caja con 60,1896.10,"01:14:26 04/07/2023",fespecializadas,TRAYENTA DUO,farmacias especializadas,Mexico,trayenta duo ,2.55,mg,tableta,60
53,nexium granulado pediatrico 2.5mg 28 sbs,612.50,"00:44:06 04/07/2023",farmacon,NEXIUM,farmacon,Mexico,nexium granulado pediatrico ,2.5,mg,,28
54,exjade 125mg com caja con 28,5726.03,"02:57:58 04/07/2023",fespecializadas,EXJADE,farmacias especializadas,Mexico,exjade ,125.0,mg,tableta,28
55,exjade 250mg com caja con 28,9417.28,"02:57:58 04/07/2023",fespecializadas,EXJADE,farmacias especializadas,Mexico,exjade ,250.0,mg,tableta,28
56,natures bounty  natures bounty vitamina aceite de pescado regular 1200mg360mg 120 capsulas.,307.48,"02:58:50 04/07/2023",fguadalajara,EXJADE,farmacias guadalajara,Mexico,natures bounty  natures bounty vitamina aceite de pescado regular ,360.0,mg,capsula,120
57,natures bounty  natures bounty vitamina aceite de pescado sin olor 1200mg360mg 60 capsulas.,239.99,"02:58:50 04/07/2023",fguadalajara,EXJADE,farmacias guadalajara,Mexico,natures bounty  natures bounty vitamina aceite de pescado sin olor ,360.0,mg,capsula,60
58,gum  hilo dental gum expanding floss 2 pzas de 40m cu.,104.00,"02:58:50 04/07/2023",fguadalajara,EXJADE,farmacias guadalajara,Mexico,gum  hilo dental gum expanding floss ,,,,2
59,galvus 50 mg caja con 56 comprimidos,984.00,"02:59:11 04/07/2023",farmalisto_mx,GALVUS,farmalisto méxico,Mexico,galvus ,50.0,mg,tableta,56
60,galvus met 50 mg 500 mg caja con 30 comprimidos,620.00,"02:59:11 04/07/2023",farmalisto_mx,GALVUS,farmalisto méxico,Mexico,galvus met ,50.0,mg,tableta,30
61,galvus met 50  850 mg caja con 30 comprimidos recubiertos,594.00,"02:59:11 04/07/2023",farmalisto_mx,GALVUS,farmalisto méxico,Mexico,galvus met ,850.0,mg,tableta,50
62,galvus met 50  1000 mg caja con 30 comprimidos recubiertos,594.00,"02:59:11 04/07/2023",farmalisto_mx,GALVUS,farmalisto méxico,Mexico,galvus met ,1000.0,mg,tableta,50
63,raid  insecticida raid max con esencia de naranja en aerosol para cucarachas e insectos rastreros 400 ml.,80.50,"01:07:00 04/07/2023",fguadalajara,OFEV,farmacias guadalajara,Mexico,raid  insecticida raid max con esencia de naranja en aerosol para cucarachas e insectos rastreros ,400.0,ml,solucion,
64,raid  insecticida raid repelente liquido anti mosquitos 21.9 ml.,76.00,"01:07:00 04/07/2023",fguadalajara,OFEV,farmacias guadalajara,Mexico,raid  insecticida raid repelente liquido anti mosquitos ,21.9,ml,,
65,raid  pack raid max mata cucarachas mas raid mata moscas y mosquitos a precio especial 2 pz.,102.50,"01:07:00 04/07/2023",fguadalajara,OFEV,farmacias guadalajara,Mexico,raid  pack raid max mata cucarachas mas raid mata moscas y mosquitos a precio especial ,,,,2
66,off  repelente de insectos off family  en crema 60 gr.,39.00,"01:07:00 04/07/2023",fguadalajara,OFEV,farmacias guadalajara,Mexico,off  repelente de insectos off family  en crema ,,,crema,60
67,pradaxar 150 mg caja con 30 capsulas  rx,1431.00,"01:07:28 04/07/2023",farmalisto_mx,PRADAXAR,farmalisto méxico,Mexico,pradaxar ,150.0,mg,capsula,30
76,pradaxar 110mg cap caja con 30,1634.10,"01:07:50 04/07/2023",fespecializadas,PRADAXAR,farmacias especializadas,Mexico,pradaxar ,110.0,mg,capsula,30
77,pradaxar 110mg cap caja con 60,2733.85,"01:07:50 04/07/2023",fespecializadas,PRADAXAR,farmacias especializadas,Mexico,pradaxar ,110.0,mg,capsula,60
78,jardianz duo 5850mg caj tab caja con 60,1894.59,"01:01:06 04/07/2023",fespecializadas,JARDIANZ,farmacias especializadas,Mexico,jardianz duo ,5850.0,mg,tableta,60
79,trayenta  trayenta duo 2.5mg1000mg 60 tabletas.,1509.99,"01:13:49 04/07/2023",fguadalajara,TRAYENTA,farmacias guadalajara,Mexico,trayenta  trayenta duo ,1000.0,mg,tableta,60
80,trayenta  trayenta duo 2.5mg850mg 60 tabletas.,1509.99,"01:13:49 04/07/2023",fguadalajara,TRAYENTA,farmacias guadalajara,Mexico,trayenta  trayenta duo ,850.0,mg,tableta,60
81,trayenta  trayenta duo 2.5mg1000mg 30 tabletas.,815.39,"01:13:49 04/07/2023",fguadalajara,TRAYENTA,farmacias guadalajara,Mexico,trayenta  trayenta duo ,1000.0,mg,tableta,30
