nombre_producto,sustancia,forma_farm,lab,presentacion
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 20 tabletas , 1.0  miligramos"
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 20 tabletas , 5.0  miligramos"
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 30 tabletas , 0.4  miligramos"
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 375 tabletas , 5.0  miligramos"
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 375 tabletas , 0.4  miligramos"
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 50 tabletas , 1.0  miligramos"
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 50 tabletas , 5.0  miligramos"
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 90 tabletas , 0.4  miligramos"
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 90 tabletas , 4.0  miligramos"
a.f. valdecasas,vitamina b9 (acido folico),tabletas,valdecasas,"1 frasco(s) , 92 tabletas , 5.0  miligramos"
a.s. cor,norfenefrina,solucion,sanfer,"1 frasco con gotero, 24 ml,"
abacavir,abacavir,tabletas,cryopharma,"1 caja , 60 tabletas , 300  miligramos"
abatoarin,tropisetron,capsulas,pisa,"1 caja , 1 capsulas , 5  miligramos"
abatoarin,tropisetron,capsulas,pisa,"1 caja , 10 capsulas , 5  miligramos"
abatoarin,tropisetron,capsulas,pisa,"1 caja , 5 capsulas , 5  miligramos"
abbatin,montelukast,tabletas masticables,corne,"1 caja,20 tabletas masticables,5 mg"
abbatin,montelukast,tabletas masticables,corne,"1 caja,30 tabletas masticables,5 mg"
abelcet,anfotericina b,suspension,teva,"1 caja, 10 frasco(s) ampula, 10 ml, 50 miligramos"
abelcet,anfotericina b,suspension,teva,"1 caja, 1 frasco(s) ampula, 10 ml, 50 miligramos"
abelcet,anfotericina b,suspension,teva,"1 caja, 10 frasco(s) ampula, 20 ml, 100 miligramos"
abelcet,anfotericina b,suspension,teva,"1 caja, 1 frasco(s) ampula, 20 ml, 100 miligramos"
ab-life,lactobacillus plantarum,liofilizado,armstrong,"1 caja , 30 capsulas"
abradermol,"aluminio, oxido de,                                manteca de karite,                                niacinamida (vitamina b3)",crema,sesderma mexico,
abretia,duloxetina,capsulas de liberacion retardada,siegfried rhein,"1 caja, 14 capsulas, 30 miligramos"
abretia,duloxetina,capsulas de liberacion retardada,siegfried rhein,"1 caja, 14 capsulas, 60 miligramos"
abretia,duloxetina,capsulas de liberacion retardada,siegfried rhein,"1 caja, 28 capsulas, 60 miligramos"
abretia,duloxetina,capsulas de liberacion retardada,siegfried rhein,"1 caja, 7 capsulas, 30 miligramos"
abrixone,metadoxina,tabletas,sanfer,"1 caja, 10 tabletas,"
abrixone,metadoxina,tabletas,sanfer,"1 caja, 4 tabletas,"
acanol,loperamida,tabletas,sanfer,"1 caja, 12 tabletas,"
acarbosa,acarbosa,tabletas,amsa,"1 caja, 30 tabletas, 50 miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 15 tabletas , 320  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 15 tabletas , 160  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 15 tabletas , 40  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 15 tabletas , 80  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 28 tabletas , 80  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 28 tabletas , 40  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 28 tabletas , 160  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 28 tabletas , 320  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 30 tabletas , 40  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 30 tabletas , 320  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 30 tabletas , 80  miligramos"
acavexal,valsartan,tabletas,aspen labs,"1 caja , 30 tabletas , 160  miligramos"
acc,acetilcisteina,tabletas efervescentes,sandoz,"1 caja, 1 tubo, 20 tabletas efervescentes, 200 miligramos"
acc,acetilcisteina,tabletas efervescentes,sandoz,"1 caja, 1 tubo, 20 tabletas efervescentes, 600 miligramos"
accocept,micofenolato mofetil,tabletas,accord farma,"1 caja,10 tabletas,500 mg"
accocept,micofenolato mofetil,tabletas,accord farma,"1 frasco pead, 100 tabletas, 500 miligramos"
accocept,micofenolato mofetil,tabletas,accord farma,"1 caja,50 tabletas,500 mg"
accocept,micofenolato mofetil,tabletas,accord farma,"1 caja , 6 tabletas , 500  miligramos"
accocit,cisplatino,solucion inyectable,accord farma,"1 caja, 1 frasco(s) ampula, 10/10 mg/ml"
accocit,cisplatino,solucion inyectable,accord farma,"1 caja, 1 frasco(s) ampula, 25/25 mg/ml"
accocit,cisplatino,solucion inyectable,accord farma,"1 caja, 1 frasco(s) ampula, 50/50 mg/ml"
accogard,pravastatina,tabletas,accord farma,"1 caja,10 tabletas,10 mg"
