reg_san,marca,den_gen,titular,principio,indicacion,busqueda
163300el870091,venclexta,venetoclax,,l01xx52 venetoclax,tratamiento como monoterapia o en combinación con rituximab en pacientes con leucemia linfocítica crónica (llc) con o sin deleción del 17p que han recibido al menos una terapia previa. en combinación con un agente hipometilante o en combinación con dosis bajas de citarabina está indicado para los pacientes recién diagnosticados con leucemia mieoloide aguda (lma) que no son elegibles para la quimioterapia intensiva. en combinación con obinutuzumab está indicado para el tratamiento de pacientes adultos con leucemia linfocítica crónica (llc) no tratada ,venclexta
163300el870091,venclexta,venetoclax,,l01xx52 venetoclax,tratamiento como monoterapia o en combinación con rituximab en pacientes con leucemia linfocítica crónica (llc) con o sin deleción del 17p que han recibido al menos una terapia previa. en combinación con un agente hipometilante o en combinación con dosis bajas de citarabina está indicado para los pacientes recién diagnosticados con leucemia mieoloide aguda (lma) que no son elegibles para la quimioterapia intensiva. en combinación con obinutuzumab está indicado para el tratamiento de pacientes adultos con leucemia linfocítica crónica (llc) no tratada ,venclexta
392m2017 ssa,mavyret,glecaprevir / pibrentasvir,,,"tratamiento de la infección crónica por el virus de la hepatitis c (vhc) en adultos, sin cirrosis o con cirrosis compensada (child-pugh a",mavyret
013m2021 ssa,rim-voq,upadacitinib,,l04aa99  otros principios activos.  agentes inmunosupresores selectivos.,para el tratamiento de adultos con artritis reumatoide de actividad moderada a severa. puede usarse como monoterapia o en combinación con metotrexato u otro fármaco antirreumático modificador de la enfermedad (farme) sintético convencio,rim-voq
144m2021 ssa,skyrizi,risankizumab,,l04ac18 risankizumab,psoriasis en placasskyrizi está indicado para el tratamiento de la psoriasis en placas de moderada a severa en adultos que sean candidatos a tratamiento sistémico.artritis psoriásicaskyrizi está indicado para el tratamiento de la artritis psoriásica activa en adultos.enfermedad de crohnskyrizi está indicado para el tratamiento de la enfermedad de crohn activa de moderada a grave en ad,skyrizi
144m2021 ssa,skyrizi,risankizumab,,l04ac18 risankizumab,psoriasis en placasskyrizi está indicado para el tratamiento de la psoriasis en placas de moderada a severa en adultos que sean candidatos a tratamiento sistémico.artritis psoriásicaskyrizi está indicado para el tratamiento de la artritis psoriásica activa en adultos.enfermedad de crohnskyrizi está indicado para el tratamiento de la enfermedad de crohn activa de moderada a grave en ad,skyrizi
103300404c0011,zavesca,miglustat,janssen cilag de mexico s. de r.l. de c.v.,,tratamiento de la enfermedad de niemann-pick tipo ctratamiento de la enfermedad de gaucher tipo 1 leve o moderada y se utilizará únicamente en aquellos casos en los que no sea posible el tratamiento de reemplazo enzimáti,zavesca
067m2011 ssa,prolia,denosumab,,m05bx04. denosumab,"osteoporosis posmenopáusicatratamiento de la osteoporosis en mujeres posmenopáusicas. en las mujeres posmenopáusicas con osteoporosis, prolia incrementa la densidad mineral ósea (dmo) y reduce la incidencia de fracturas de cadera, vertebrales y no vertebrales.osteoporosis masculinatratamiento de osteoporosis en hombres.pérdida ósea en pacientes que se someten a ablación hormonal por cáncertratamiento de la pérdida ósea en pacientes que se someten a ablación hormonal por cáncer de próstata o cáncer de mama. en los pacientes con cáncer de próstata, prolia reduce la incidencia de fracturas vertebrales.osteoporosis inducida por glucocorticoidestratamiento de la osteoporosis asociada a la terapia sistémica con glucocorticoides a largo plazo en pacientes adultos con alto riesgo de fracturas.el alto riesgo de fractura se define como: un historial de fractura osteoporótica, múltiples factores de riesgo para fractura, o pacientes con falla o que son intolerantes a otros tratamientos disponibles pa",prolia
014m2012 ssa,xgeva,denosumab,,m05bx04. denosumab,"para la prevencion de eventos relacionados con el esqueleto (fracturas patologicas, radioterapia de hueso, compresión medular o cirugía ósea) en pacientes con neoplasias malignas avanzadas con afectación ósea. tratamiento del tumor óseo de células gigantes, en adultos o en adolescentes con esqueleto ",xgeva
223m2016 ssa,repatha,evolocumab,,c10ax13 evolocumab.,"prevención en eventos cardiovascularesestá indicado en combinación con otras terapias en adultos con enfermedad cardiovascular establecida, para reducir el riesgo de infarto de miocardio, enfermedad vascular cerebral isquémica y revascularización coronaria.hipercolesterolemia y dislipidemia mixtaestá indicado en adultos con hipercolesterolemia primaria (heterocigoto familiar y no familiar) o dislipidemia mixta como complemento a la dieta:• en combinación con una estatina o estatina con otras terapias de reducción de lípidos en pacientes que no consiguen alcanzar los niveles objetivo de colesterol de baja densidad (ldl-c por sus siglas en inglés) con la dosis máxima tolerada de estatina, o bien,• solo o en combinación con otras terapias de reducción de lípidos en pacientes que son intolerantes a las estatinas, o en los que las estatinas están contraindicadas.hipercolesterolemia familiar homocigotaestá indicado en adultos y adolescentes desde los 12 años de edad con hipercolesterolemia fami, por sus siglas en inglés) en combinación con otras terapias de reducción de lípi",repatha
