num,farmaco,forma,concen,fraccion,den_dist,registro,titular,indicacion
1,"abacavir, sulfato de",tableta,300 mg,iv,ziagenavir,088m99 ssa,"glaxo wellcome, s.a.",antirretroviral.
2,"abacavir, sulfato de",jarabe,2 g / 100 ml,iv,ziagenavir,087m99 ssa,"glaxo wellcome, s.a.",antirretroviral.
3,"abacavir, sulfato de /lamivudina",tableta,600 mg / 300 mg,iv,kivexa,479m2005 ssa,"glaxo wellcome, s.a.",antirretroviral. para el tratamiento de la infeccion causada porel virus de la inmunodeficiencia humana (vih).
4,"abiraterona, acetato de",tableta,250 mg   y   500 mg,iv,zytiga,241m2012 ssa,"janssen-cilag, s.a. de c.v.","en el tratamiento de pacientes con cancer de prostata metastasicode alto riesgo que no han recibido tratamiento hormonal (cpmhn) oen pacientes con cancer de prostata metastasico hormono sensible(cpmhs) de alto riesgo de reciente diagnostico en combinacion conprednisona o prednisolona y terapia de privacion androgenica (tda).tratamiento de pacientes con cancer de prostata metastasicoresistente a la castracion que son asintomaticos o con sintomasleves despues del fracaso de la terapia de privacion androgenica,indicado en combinacion con prednisona o prednisolona.tratamiento de cancer de prostata avanzado metastasico (cancer deprostata resistente a la castracion) en paciente que han recibido unaquimioterapia previa con un taxano, indicado en combinacion conprednisona o prednisolona."
5,acarbosa,tableta,50 mg y 100 mg,iv,glucobay,458m93 ssa,"bayer de mexico, s.a. de c.v.",para el tratamiento de la diabetes mellitus tipo 2.
6,aceclofenaco,crema,1.5 g / 100 g,vi,bristaflam,322m95 ssa,"industrias farmaceuticas almirall, s.a.",antiinflamatorio.
7,aceclofenaco,polvo(para solucion),100 mg,iv,bristaflam,392m2003 ssa,"industrias farmaceuticas almirall, s.a.","analgesico, antiinflamatorio con accion analgesica."
8,aceclofenaco,comprimido,100 mg,iv,bristaflam,440m93 ssa,"industrias farmaceuticas almirall, s.a.",antiinflamatorio no esteroideo.
9,acemetacina,capsula,60 mg,iv,rantudil,247m96 ssa,meda manufacturing gmbh,antiinflamatorio no esteroideo con accion analgesica.
10,acemetacina,capsula(liberacion prolongada),90 mg,iv,rantudil retard,240m96 ssa,meda manufacturing gmbh,"analgesico, antiinflamatorio con accion analgesica."
11,acenocumarol,tableta,4 mg,iv,sintrom,46951 ssa,"especificos stendhal, s.a. de c.v.",anticoagulante. tratamiento y prevencion de enfermedadestromboembolicas.
12,"acetilsalicilato de lisina /metoclopramida /, clorhidratode",polvo,1620 mg / 10 mg,iv,antigram,214m2000 ssa,"armstrong laboratorios de mexico,s.a. de c.v.","m   e  d   ic  a  m   e  n   t o   u  t i l e  n    la   c  e  f a  l e  a   v  a  s  c  u  l a  r ,  a   n  a  l g  e  s  ico,antiemetico."
13,acexamato de sodio /sulfato de neomicina,crema,5g / 0.4g / 100g,iv,recoveron-nc,443m94 ssa,"armstrong laboratorios de mexico,s.a. de c.v.","p  a   r a   l a   c  ic  a  t r  iz  a  c  i o  n   d  e   h  e   r i d  a  s   q  u  i r u  r g  i c  a  s  ,   t r a  u  m   a  t i c  a  s    yquemaduras."
14,acexamato de sodio /sulfato de neomicina,unguento,5 g / 0.4 g / 100 g,iv,recoveron-n,82528 ssa,"armstrong laboratorios de mexico,s.a. de c.v.",auxiliar en la reactivacion de la neoformacion epitelial.
15,aciclovir,tableta(dispersable),"2  0  0   m    g  ,   4  0  0    m  g y800 mg",iv,zoviraxdispersable,365m94 ssa,"glaxosmithkline mexico, s.a. de c.v.",antiviral.
16,aciclovir,solucion,5 g/100 ml,iv,cicloferon,586m2000 ssa,"laboratorios liomont, s.a. de c.v.",antiherpetico
17,aciclovir,suspension,4 g / 100 mlo200 mg / 5 ml,iv,zovirax,245m89 ssa,"glaxo wellcome, s.a.",antiviral.
18,aciclovir,crema,5 g/100 g,iv,zovirax,039m89 ssa,"glaxosmithkline mexico, s.a. de c.v.",antiviral para el tratamiento del herpes labial.
19,aciclovir,tableta,200 mg   y   400 mg,iv,zovirax,115m84 ssa,"glaxosmithkline mexico, s.a. de c.v.",antiviral.
