id,producto,precio,hora_consulta,farmacia_corto,busqueda,farmacia,pais,product_name,quantity,unit,presentacion,num_prod,atc,coincidencia
11754,calaptin sr 120mg comprimido 15 s,15.77,20/07/2023 10:43,pharmeasy,acalabrutinib,pharmeasy,India,calaptin sr,120.0,mg,tableta,15.0,L01,0
11755,tableta de lupinib 400mg,443.48,20/07/2023 10:43,pharmeasy,acalabrutinib,pharmeasy,India,tableta de lupinib,400.0,mg,tableta,,L01,0
11756,ibrunat 140mg frasco de 30 capsulas,1949.35,20/07/2023 10:43,pharmeasy,acalabrutinib,pharmeasy,India,ibrunat,140.0,mg,capsula,30.0,L01,0
11757,cadinib 100mg tableta,754.12,20/07/2023 10:43,pharmeasy,acalabrutinib,pharmeasy,India,cadinib,100.0,mg,tableta,,L01,0
11758,pestana calcitab,28.73,20/07/2023 10:43,pharmeasy,acalabrutinib,pharmeasy,India,pestana calcitab,,,tableta,,L01,0
11759,stritinib 100 mg tira de 10 tabletas,102.6,20/07/2023 10:43,pharmeasy,acalabrutinib,pharmeasy,India,stritinib,100.0,mg,tableta,10.0,L01,0
11760,altanib 100 mg capsula 10,516.97,20/07/2023 10:43,pharmeasy,acalabrutinib,pharmeasy,India,altanib,100.0,mg,capsula,10.0,L01,0
11761,calaptin 80mg comprimido 30 s,9.79,20/07/2023 10:43,pharmeasy,acalabrutinib,pharmeasy,India,calaptin,80.0,mg,tableta,30.0,L01,0
11762,calaptin 40mg comprimido 30 s,5.31,20/07/2023 10:43,pharmeasy,acalabrutinib,pharmeasy,India,calaptin,40.0,mg,tableta,30.0,L01,0
11790,tableta rebose 25mg,11.7,20/07/2023 10:48,pharmeasy,acarbosa,pharmeasy,India,tableta rebose,25.0,mg,tableta,,A10,0
11791,tableta de 25 mg de acarz,0.62,20/07/2023 10:48,pharmeasy,acarbosa,pharmeasy,India,tableta de,25.0,mg,tableta,,A10,0
11792,tableta de 25 mg de acarjohn,14.36,20/07/2023 10:48,pharmeasy,acarbosa,pharmeasy,India,tableta de,25.0,mg,tableta,,A10,0
11793,tableta de glucar 25mg,16.52,20/07/2023 10:48,pharmeasy,acarbosa,pharmeasy,India,tableta de glucar,25.0,mg,tableta,,A10,0
11794,tableta recarb 50mg,26.26,20/07/2023 10:48,pharmeasy,acarbosa,pharmeasy,India,tableta recarb,50.0,mg,tableta,,A10,0
11795,tableta recarb 25mg,13.34,20/07/2023 10:48,pharmeasy,acarbosa,pharmeasy,India,tableta recarb,25.0,mg,tableta,,A10,0
11796,aglucose 50 mg com ct bl al al x 30,118.82,20/07/2023 10:49,avisa,acarbosa,agencia nacional de vigilancia sanitaria brasil,Brasil,aglucose,50.0,mg,tableta,30.0,A10,0
11797,aglucose 100 mg com ct bl al al x 30,180.34,20/07/2023 10:49,avisa,acarbosa,agencia nacional de vigilancia sanitaria brasil,Brasil,aglucose,100.0,mg,tableta,30.0,A10,0
11965,pilexil anticaida spray con 120 ml,972.0,20/07/2023 10:56,farmalisto_mx,adenosina,farmalisto méxico,Mexico,pilexil anticaida spray con,120.0,ml,,,C01,0
11966,vivioptal capsulas promocion caja con 30  15 capsulas,230.0,20/07/2023 10:56,farmalisto_mx,adenosina,farmalisto méxico,Mexico,vivioptal capsulas promocion caja con,,,capsula,30.0,C01,0
11967,lambdapil anticaida locion caja con en spray 125 ml,718.01,20/07/2023 10:56,farmalisto_mx,adenosina,farmalisto méxico,Mexico,lambdapil anticaida locion caja con en spray,125.0,ml,,,C01,0
11968,pilexil forte caja con 20 ampolletas,1146.0,20/07/2023 10:56,farmalisto_mx,adenosina,farmalisto méxico,Mexico,pilexil forte caja con,,,ampolleta,20.0,C01,0
11969,eye shine eye patches,517.0,20/07/2023 10:58,fahorro,adenosina,farmacias del ahorro,Mexico,eye shine eye patches,,,,,C01,0
11970,isdin lambdapil spray anticaida 125 ml,807.5,20/07/2023 10:58,fahorro,adenosina,farmacias del ahorro,Mexico,isdin lambdapil spray anticaida,125.0,ml,,,C01,0
11971,nutricia infatrini de 400 gr,389.0,20/07/2023 10:58,fahorro,adenosina,farmacias del ahorro,Mexico,nutricia infatrini de,,,,400.0,C01,0
11972,nutrilon premium pepti syneo en polvo de 400 gr,437.0,20/07/2023 10:58,fahorro,adenosina,farmacias del ahorro,Mexico,nutrilon premium pepti syneo en polvo de,,,,400.0,C01,0
11973,nutrilon premium 2 leche en polvo de 800 gr,392.0,20/07/2023 10:58,fahorro,adenosina,farmacias del ahorro,Mexico,nutrilon premium,,,,2.0,C01,0
11974,nutrilon premium 1 leche en polvo de 800 gr,417.0,20/07/2023 10:58,fahorro,adenosina,farmacias del ahorro,Mexico,nutrilon premium,,,,1.0,C01,0
11975,nutrilon premium 1 leche en polvo de 400 gr,227.0,20/07/2023 10:58,fahorro,adenosina,farmacias del ahorro,Mexico,nutrilon premium,,,,1.0,C01,0
