precio_loc,farmacia,producto,busqueda,hora_consulta,pais,tipo_cambio,precio,farmaca_corto,product_name,num_prod,presentacion,unit,quantity
9550.0,canadianprescriptiondrugstore.com/,calquence,acalabrutinib,13:52:28 22/09/2023,Canada,16.7667,160121.99,pchecker,calquence,56,tableta,mg,100.0
8999.99,canadianpharmacystore.com,calquence,acalabrutinib,13:52:28 22/09/2023,Canada,16.7667,150900.13,pchecker,calquence,56,capsula,mg,100.0
26944.99,canadianpharmacystore.com,calquence,acalabrutinib,13:52:28 22/09/2023,Canada,16.7667,451778.56,pchecker,calquence,168,capsula,mg,100.0
8549.99,discountcanadadrugs.com/,calquence,acalabrutinib,13:52:28 22/09/2023,Canada,16.7667,143355.12,pchecker,calquence,56,capsula,mg,100.0
25596.98,discountcanadadrugs.com/,calquence,acalabrutinib,13:52:28 22/09/2023,Canada,16.7667,429176.88,pchecker,calquence,168,capsula,mg,100.0
8849.0,pricepropharmacy.com/,calquence,acalabrutinib,13:52:28 22/09/2023,Canada,16.7667,148368.53,pchecker,calquence,56,capsula,mg,100.0
9250.0,pricepropharmacy.com/,calquence,acalabrutinib,13:52:28 22/09/2023,Canada,16.7667,155091.98,pchecker,calquence,60,capsula,mg,100.0
9775.5,spfpharmacy.com,calquence,acalabrutinib,13:52:28 22/09/2023,Canada,16.7667,163902.88,pchecker,calquence,56,tableta,mg,100.0
28350.0,spfpharmacy.com,calquence,acalabrutinib,13:52:28 22/09/2023,Canada,16.7667,475335.94,pchecker,calquence,168,tableta,mg,100.0
2719.81,liferxpharmacy.com/,afatinib,afatinib,13:52:31 22/09/2023,Canada,16.7667,45602.24,pchecker,afatinib,56,tableta,mg,20.0
3708.84,liferxpharmacy.com/,afatinib,afatinib,13:52:31 22/09/2023,Canada,16.7667,62185.01,pchecker,afatinib,84,tableta,mg,20.0
3199.78,offshorecheapmeds.com,afatinib,afatinib,13:52:31 22/09/2023,Canada,16.7667,53649.75,pchecker,afatinib,56,tableta,mg,20.0
4363.34,offshorecheapmeds.com,afatinib,afatinib,13:52:31 22/09/2023,Canada,16.7667,73158.81,pchecker,afatinib,84,tableta,mg,20.0
2719.81,liferxpharmacy.com/,afatinib,afatinib,13:52:35 22/09/2023,Canada,16.7667,45602.24,pchecker,afatinib,56,tableta,mg,30.0
3708.84,liferxpharmacy.com/,afatinib,afatinib,13:52:35 22/09/2023,Canada,16.7667,62185.01,pchecker,afatinib,84,tableta,mg,30.0
3199.78,offshorecheapmeds.com,afatinib,afatinib,13:52:35 22/09/2023,Canada,16.7667,53649.75,pchecker,afatinib,56,tableta,mg,30.0
