id,producto,precio,hora_consulta,farmacia_corto,busqueda,farmacia,pais,product_name,quantity,unit,presentacion,num_prod,atc,coincidencia,marca,den_gen,distancia
11741,calquence 56 capsulas caja acalabrutinib 100.0 mg,184440.5,20/07/2023 10:40,fsanpablo,acalabrutinib,farmacias san pablo,Mexico,calquence,100.0,mg,capsula,56.0,L01,,,,
11769,acarbosa 50 mg caja con 30 tabletas,56.0,20/07/2023 10:45,farmalisto_mx,acarbosa,farmalisto méxico,Mexico,acarbosa,50.0,mg,tableta,30.0,A10,,,,
11770,acarbosa 100 mg caja con 30 tabletas,93.0,20/07/2023 10:45,farmalisto_mx,acarbosa,farmalisto méxico,Mexico,acarbosa,100.0,mg,tableta,30.0,A10,,,,
11772,acarbosa 50 mg alpharma 30 tabletas caja,80.0,20/07/2023 10:45,fsanpablo,acarbosa,farmacias san pablo,Mexico,acarbosa,50.0,mg,tableta,30.0,A10,,,,
11775,acarbosa 50mg 30 tabs,127.0,20/07/2023 10:45,farmacon,acarbosa,farmacon,Mexico,acarbosa,50.0,mg,tableta,30.0,A10,,,,
11778,acarbosa 50 mg oral 30 tabletas marca del ahorro,79.0,20/07/2023 10:47,fahorro,acarbosa,farmacias del ahorro,Mexico,acarbosa,50.0,mg,tableta,30.0,A10,,,,
11780,acarbosa,296.44,20/07/2023 10:47,pchecker,acarbosa,liferxpharmacy.com/,Canada,acarbosa,25.0,mg,tableta,60.0,A10,,,,
11781,acarbosa,370.54,20/07/2023 10:47,pchecker,acarbosa,liferxpharmacy.com/,Canada,acarbosa,25.0,mg,tableta,90.0,A10,,,,
11782,acarbosa,390.33,20/07/2023 10:47,pchecker,acarbosa,medsengage.com,Canada,acarbosa,25.0,mg,tableta,60.0,A10,,,,
11783,acarbosa,487.91,20/07/2023 10:47,pchecker,acarbosa,medsengage.com,Canada,acarbosa,25.0,mg,tableta,90.0,A10,,,,
11784,acarbosa,318.73,20/07/2023 10:47,pchecker,acarbosa,offshorecheapmeds.com,Canada,acarbosa,25.0,mg,tableta,60.0,A10,,,,
