"id","producto","precio","hora_consulta","farmacia_corto","busqueda","farmacia","pais","product_name","quantity","unit","presentacion","num_prod"
11740,calquence 100 mg caja con 56 capsulas,176000.00,"10:40:15 20/07/2023",farmalisto_mx,acalabrutinib,farmalisto méxico,Mexico,calquence,100.0,mg,capsula,56
11741,calquence 56 capsulas caja acalabrutinib 100.0 mg,184440.50,"10:40:31 20/07/2023",fsanpablo,acalabrutinib,farmacias san pablo,Mexico,calquence,100.0,mg,capsula,56
11742,calquence 100 mg cap caja con 56,186700.00,"10:40:41 20/07/2023",fespecializadas,acalabrutinib,farmacias especializadas,Mexico,calquence,100.0,mg,capsula,56
11743,calcuencia,150900.13,"10:42:31 20/07/2023",pchecker,acalabrutinib,canadianpharmacystore.com,Canada,calcuencia,100.0,mg,capsula,56
11744,calcuencia,451778.56,"10:42:31 20/07/2023",pchecker,acalabrutinib,canadianpharmacystore.com,Canada,calcuencia,100.0,mg,capsula,168
11745,calcuencia,160121.99,"10:42:31 20/07/2023",pchecker,acalabrutinib,canadianprescriptiondrugstore.com/,Canada,calcuencia,100.0,mg,QTY,56
11746,calcuencia,143355.12,"10:42:31 20/07/2023",pchecker,acalabrutinib,discountcanadadrugs.com/,Canada,calcuencia,100.0,mg,capsula,56
11747,calcuencia,429176.88,"10:42:31 20/07/2023",pchecker,acalabrutinib,discountcanadadrugs.com/,Canada,calcuencia,100.0,mg,capsula,168
11748,calcuencia,148368.53,"10:42:31 20/07/2023",pchecker,acalabrutinib,pricepropharmacy.com/,Canada,calcuencia,100.0,mg,capsula,56
11749,calcuencia,155091.98,"10:42:31 20/07/2023",pchecker,acalabrutinib,pricepropharmacy.com/,Canada,calcuencia,100.0,mg,capsula,60
11750,calcuencia,163902.88,"10:42:31 20/07/2023",pchecker,acalabrutinib,spfpharmacy.com,Canada,calcuencia,100.0,mg,tableta,56
11751,calcuencia,475335.94,"10:42:31 20/07/2023",pchecker,acalabrutinib,spfpharmacy.com,Canada,calcuencia,100.0,mg,tableta,168
11752,calquence capsula 100 mg  caja x 60 uds,86314.80,"10:42:41 20/07/2023",audifarma,acalabrutinib,audifarma,Colombia,calquence capsula,100.0,mg,capsula,60
11753,calquence 100 mg tira de 6 capsulas paquete de 2,37297.22,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,calquence,100.0,mg,capsula,6
11754,calaptin sr 120mg comprimido 15 s,15.77,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,calaptin sr,120.0,mg,tableta,15
11755,tableta de lupinib 400mg,443.48,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,tableta de lupinib,400.0,mg,tableta,
11756,ibrunat 140mg frasco de 30 capsulas,1949.35,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,ibrunat,140.0,mg,capsula,30
11757,cadinib 100mg tableta,754.12,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,cadinib,100.0,mg,tableta,
11758,pestana calcitab,28.73,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,pestana calcitab,,"",tableta,
11759,stritinib 100 mg tira de 10 tabletas,102.60,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,stritinib,100.0,mg,tableta,10
11760,altanib 100 mg capsula 10,516.97,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,altanib,100.0,mg,capsula,10
11761,calaptin 80mg comprimido 30 s,9.79,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,calaptin,80.0,mg,tableta,30
11762,calaptin 40mg comprimido 30 s,5.31,"10:43:44 20/07/2023",pharmeasy,acalabrutinib,pharmeasy,India,calaptin,40.0,mg,tableta,30
11763,calquence,141235.71,"10:43:57 20/07/2023",medicinpriser,acalabrutinib,medicinpriser,Dinamarca,calquence,100.0,mg,ampolleta,60
11764,calquence,141235.71,"10:43:57 20/07/2023",medicinpriser,acalabrutinib,medicinpriser,Dinamarca,calquence,100.0,mg,ampolleta,60
11765,calquence 100 mg cap dura ct bl al al x 60,188696.91,"10:44:09 20/07/2023",avisa,acalabrutinib,agencia nacional de vigilancia sanitaria brasil,Brasil,calquence,100.0,mg,capsula,60
11766,calquence caps 100mgcap btx60 capsulas,106711.10,"10:44:31 20/07/2023",minsalgr,acalabrutinib,ministerio salud grecia,Grecia,calquence caps,100.0,mg,capsula,60
11767,calcuencia,111888.41,"10:44:48 20/07/2023",zva,acalabrutinib,agencia de medicamentos de letonia,Letonia,calcuencia,100.0,mg,capsula,
11768,calcuencia,111888.41,"10:44:48 20/07/2023",zva,acalabrutinib,agencia de medicamentos de letonia,Letonia,calcuencia,100.0,mg,tableta,
11769,acarbosa 50 mg caja con 30 tabletas,56.00,"10:45:15 20/07/2023",farmalisto_mx,acarbosa,farmalisto méxico,Mexico,acarbosa,50.0,mg,tableta,30
11770,acarbosa 100 mg caja con 30 tabletas,93.00,"10:45:15 20/07/2023",farmalisto_mx,acarbosa,farmalisto méxico,Mexico,acarbosa,100.0,mg,tableta,30
