clave,descr,unidad,PA
010.000.0022.00,Caseinato de calcio. Polvo. cada 100 g contienen: Proteínas 86.0 a 90.0 g. Grasas 0.0 a 2.0 g. Minerales 3.8 a 6.0 g. Humedad 0.0 a 6.2 g. Envase con 100 g,Pieza,Caseinato de calcio
010.000.0091.00,Miel de Maiz. Solución cada 5 ml contienen: miel de maíz 3.75 g. envase con 500 m,Pieza,Miel de maiz
010.000.0154.00,Aceite mineral. Solucion cada envase contiene: aceite mineral. envase con 265 ml.,Pieza,Aceite mineral
010.000.0232.00,Isoflurano. Liquido o solucion cada envase contiene: isoflurano 100 ml. envase con 100 ml.,Pieza,Isoflurano
010.000.0233.00,Sevoflurano. Liquido o solucion cada envase contiene: sevoflurano 250 ml. envase con 250 ml de líquido o solució,Pieza,Sevoflurano
010.000.0234.00,Desflurano. Liquido cada envase contiene: desflurano 240 ml. Envase con 240 ml.,Pieza,Desflurano
010.000.0252.00,Suxametonio cloruro de. Solución Inyectable Cada ampolleta contiene: Cloruro de suxametonio 40 mg Envase con 5 ampolletas con 2 ml,Pieza,Suxametonio cloruro de
010.000.0254.00,Vecuronio. Solución Inyectable Cada frasco ámpula con liofilizado contiene: Bromuro de vecuronio 4 mg Envase con 50 frascos ámpula y 50 ampolletas con 1 ml de diluyente (4 mg/,Pieza,Vecuronio
010.000.0426.00,Aminofilina. Solución Inyectable. Cada ampolleta contiene: Aminofilina 250 mg. Envase con 5 ampolletas de 10 ml,Pieza,Aminofilina
010.000.0441.00,Salmeterol. Suspensión en aerosol Cada gramo contiene: Xinafoato de salmeterol equivalente a 0.330 mg de salmeterol. Envase con inhalador con 12 g para 120 dosis de 25 µ,Pieza,Salmeterol
010.000.0443.00,"Salmeterol,  fluticasona. Suspensión en aerosol. Cada dosis contiene: Xinafoato de salmeterol equivalente a 25 µg de salmeterol. Propionato de fluticasona 50 µg. Envase con dispositivo inhalador para 120 dos",Pieza,"Salmeterol, fluticasona"
010.000.0463.00,Ketotifeno. Solución Oral Cada 100 ml contienen: Fumarato ácido de ketotifeno equivalente a 20 mg de ketotifeno. Envase con 120 ml y dosificado,Pieza,Ketotifeno
010.000.0477.00,Dipropionato de Beclometasona. Suspensión en aerosol. Cada inhalación contiene: Dipropionato de Beclometasona 50  µg. Envase con dispositivo inhalador para 200 dos,Pieza,Dipropionato de beclometasona
010.000.0514.00,Paracetamol supositorio cada supositorio contiene: paracetamol 100 mg envase con 3 supositorios,Pieza,Paracetamol
